source_protein_name	source_domain	source_uniprot	bp_protein_name	bp_uniprot	bp_domain	PDB
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	14-3-3 protein zeta/delta	p63104	14-3-3_beta_zeta	5d3f
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	14-3-3 protein zeta/delta	p63104	14-3-3_beta_zeta	5ewz
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	14-3-3 protein zeta/delta	p63104	14-3-3_beta_zeta	5exa
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	14-3-3 protein zeta/delta	p63104	14-3-3_beta_zeta	5j31
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	14-3-3 protein zeta/delta	p63104	14-3-3_beta_zeta	5jm4
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	14-3-3 protein zeta/delta	p63104	14-3-3_beta_zeta	5m37
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	14-3-3 protein zeta/delta	p63104	14-3-3_beta_zeta	5nas
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	14-3-3 protein zeta/delta	p63104	14-3-3_beta_zeta	5wxn
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	14-3-3 protein zeta/delta	p63104	14-3-3_beta_zeta	5xy9
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	14-3-3 protein zeta/delta	p63104	14-3-3_beta_zeta	6ejl
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	14-3-3 protein zeta/delta	p63104	14-3-3_beta_zeta	6eww
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	14-3-3 protein zeta/delta	p63104	14-3-3_beta_zeta	6f08
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	14-3-3 protein zeta/delta	p63104	14-3-3_beta_zeta	6f09
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	14-3-3 protein zeta/delta	p63104	14-3-3_beta_zeta	6fn9
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	14-3-3 protein zeta/delta	p63104	14-3-3_beta_zeta	6fna
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	14-3-3 protein zeta/delta	p63104	14-3-3_beta_zeta	6fnb
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	14-3-3 protein zeta/delta	p63104	14-3-3_beta_zeta	6fnc
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	14-3-3 protein zeta/delta	p63104	NA	1qja
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	14-3-3 protein zeta/delta	p63104	NA	3cu8
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	14-3-3 protein zeta/delta	p63104	NA	4n7g
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	14-3-3 protein zeta/delta	p63104	NA	4n84
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	14-3-3 protein zeta/delta	p63104	NA	4wrq
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	14-3-3 protein zeta/delta	p63104	NA	5j31
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	14-3-3 protein zeta/delta	p63104	NA	5m35
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	14-3-3 protein zeta/delta	p63104	NA	5m36
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	14-3-3 protein zeta/delta	p63104	NA	6ef5
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	14-3-3 protein zeta/delta	p63104	NA	6q0k
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	14-3-3 protein zeta/delta	p63104	NA	6rlz
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	14-3-3 protein zeta/delta	p63104	NA	6u2h
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	Calcium/calmodulin-dependent protein kinase kinase 2	q96rr4	NA	6ef5
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	Calcium/calmodulin-dependent protein kinase kinase 2	q96rr4	NA	6eww
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	Cystic fibrosis transmembrane conductance regulator	p13569	NA	5d2d
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	Cystic fibrosis transmembrane conductance regulator	p13569	NA	5d3f
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	EtMe		NA	6rlz
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	ExoS (416-430) peptide		NA	2o02
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	Exoenzyme S	q93sq3	NA	4n7g
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	Exoenzyme S	q93sq3	NA	4n7y
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	Exoenzyme S	q93sq3	NA	4n84
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	Exoenzyme S	q93sq3	NA	5j31
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	GLN-GLY-MKD-ANG-ASP-MKD-LEU-ASP-LEU-ALA-CLU		NA	5jm4
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	GRB2-associated-binding protein 2	q9uqc2	NA	5ewz
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	GRB2-associated-binding protein 2	q9uqc2	NA	5exa
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	Integrin alpha-4	p13612	NA	4hkc
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	LYS-LEU-SEP-LEU-GLN		NA	6ef5
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	M-phase inducer phosphatase 3	p30307	NA	5m35
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	M-phase inducer phosphatase 3	p30307	NA	5m36
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	M-phase inducer phosphatase 3	p30307	NA	5m37
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	Middle T antigen	p0doj7	NA	1qjb
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	Mitogen-activated protein kinase kinase kinase 5	q99683	NA	6ejl
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	PHOSPHOPEPTIDE		NA	1qja
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	Phosphatidylinositol 4-kinase beta	q9ubf8	NA	5nas
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	Protein chibby homolog 1	q9y3m2	NA	4wrq
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	Protein kinase C epsilon type	q02156	NA	2wh0
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	RAF proto-oncogene serine/threonine-protein kinase	p04049	NA	3cu8
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	RAF proto-oncogene serine/threonine-protein kinase	p04049	NA	3nkx
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	RAF proto-oncogene serine/threonine-protein kinase	p04049	NA	4fj3
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	RAF proto-oncogene serine/threonine-protein kinase	p04049	NA	4ihl
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	Rho-related GTP-binding protein RhoE	p61587	NA	4bg6
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	Serine/threonine-protein kinase 26	q9p289	NA	5xy9
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	Serine/threonine-protein kinase B-raf	p15056	NA	6q0k
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	Serine/threonine-protein kinase B-raf	p15056	NA	6u2h
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	Serine/threonine-protein kinase STK11	q15831	NA	5wxn
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	Serotonin N-acetyltransferase	q29495	Acetyltransf_1	1ib1
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	Serotonin N-acetyltransferase	q29495	NA	1ib1
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	Son of sevenless homolog 1	q07889	NA	6f08
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	TBC1 domain family member 7	q9p0n9	NA	5ulo
14-3-3 protein zeta/delta	14-3-3_beta_zeta	p63104	Ubiquitin carboxyl-terminal hydrolase 8	p40818	NA	6f09
A612L protein	NA	o41094	A612L protein	o41094	NA	3kma
A612L protein	NA	o41094	A612L protein	o41094	NA	3kmj
A612L protein	NA	o41094	A612L protein	o41094	SET_SpSet7-like	3kma
A612L protein	NA	o41094	A612L protein	o41094	SET_SpSet7-like	3kmj
A612L protein	SET_SpSet7-like	o41094	A612L protein	o41094	NA	3kma
A612L protein	SET_SpSet7-like	o41094	A612L protein	o41094	NA	3kmj
A612L protein	SET_SpSet7-like	o41094	A612L protein	o41094	SET_SpSet7-like	3kma
A612L protein	SET_SpSet7-like	o41094	A612L protein	o41094	SET_SpSet7-like	3kmj
ATPase family AAA domain-containing protein 2	Bromo_AAA	q6pl18	ATPase family AAA domain-containing protein 2	q6pl18	Bromo_AAA	5a5r
ATPase family AAA domain-containing protein 2	Bromo_AAA	q6pl18	ATPase family AAA domain-containing protein 2	q6pl18	Bromo_AAA	5a83
ATPase family AAA domain-containing protein 2	Bromo_AAA	q6pl18	ATPase family AAA domain-containing protein 2	q6pl18	NA	5a5r
ATPase family AAA domain-containing protein 2	Bromo_AAA	q6pl18	ATPase family AAA domain-containing protein 2	q6pl18	NA	5a83
ATPase family AAA domain-containing protein 2	NA	q6pl18	ATPase family AAA domain-containing protein 2	q6pl18	Bromo_AAA	5a5r
ATPase family AAA domain-containing protein 2	NA	q6pl18	ATPase family AAA domain-containing protein 2	q6pl18	Bromo_AAA	5a83
ATPase family AAA domain-containing protein 2	NA	q6pl18	ATPase family AAA domain-containing protein 2	q6pl18	NA	5a5r
ATPase family AAA domain-containing protein 2	NA	q6pl18	ATPase family AAA domain-containing protein 2	q6pl18	NA	5a83
Arp5	NA	g0s589	RuvB-like helicase	g0ryi5	TIP49	6fhs
Arp5	NA	g0s589	les6	g0s590	NA	6fhs
Baculoviral IAP repeat-containing protein 5	BIR	o15392	Baculoviral IAP repeat-containing protein 5	o15392	NA	1e31
Baculoviral IAP repeat-containing protein 5	BIR	o15392	Baculoviral IAP repeat-containing protein 5	o15392	NA	1f3h
Baculoviral IAP repeat-containing protein 5	BIR	o15392	Baculoviral IAP repeat-containing protein 5	o15392	NA	3ueg
Baculoviral IAP repeat-containing protein 5	BIR	o15392	Baculoviral IAP repeat-containing protein 5	o15392	NA	3ueh
Baculoviral IAP repeat-containing protein 5	BIR	o15392	Baculoviral IAP repeat-containing protein 5	o15392	NA	3uei
Baculoviral IAP repeat-containing protein 5	BIR	o15392	Baculoviral IAP repeat-containing protein 5	o15392	NA	3uih
Baculoviral IAP repeat-containing protein 5	BIR	o15392	Baculoviral IAP repeat-containing protein 5	o15392	NA	3uij
Baculoviral IAP repeat-containing protein 5	BIR	o15392	Baculoviral IAP repeat-containing protein 5	o15392	NA	4a0i
Baculoviral IAP repeat-containing protein 5	BIR	o15392	Baculoviral IAP repeat-containing protein 5	o15392	NA	6sho
Baculoviral IAP repeat-containing protein 5	BIR	o15392	Borealin	q53hl2	NA	2qfa
Baculoviral IAP repeat-containing protein 5	BIR	o15392	Borealin	q53hl2	NA	2raw
Baculoviral IAP repeat-containing protein 5	BIR	o15392	Borealin	q53hl2	NA	6yie
Baculoviral IAP repeat-containing protein 5	BIR	o15392	Borealin	q53hl2	Nbl1_Borealin_N	2qfa
Baculoviral IAP repeat-containing protein 5	BIR	o15392	Borealin	q53hl2	Nbl1_Borealin_N	2raw
Baculoviral IAP repeat-containing protein 5	BIR	o15392	Borealin	q53hl2	Nbl1_Borealin_N	2rax
Baculoviral IAP repeat-containing protein 5	BIR	o15392	Diablo homolog, mitochondrial	q9nr28	NA	3uih
Baculoviral IAP repeat-containing protein 5	BIR	o15392	Diablo homolog, mitochondrial	q9nr28	NA	3uij
Baculoviral IAP repeat-containing protein 5	BIR	o15392	Inner centromere protein	q9nqs7	INCENP_N	2qfa
Baculoviral IAP repeat-containing protein 5	BIR	o15392	Inner centromere protein	q9nqs7	NA	2qfa
Baculoviral IAP repeat-containing protein 5	BIR	o15392	Inner centromere protein	q9nqs7	NA	6yie
Baculoviral IAP repeat-containing protein 5	BIR	o15392	Shugoshin 1	q5fbb7	NA	4a0i
Baculoviral IAP repeat-containing protein 5	NA	o15392	Baculoviral IAP repeat-containing protein 5	o15392	NA	1e31
Baculoviral IAP repeat-containing protein 5	NA	o15392	Baculoviral IAP repeat-containing protein 5	o15392	NA	1f3h
Baculoviral IAP repeat-containing protein 5	NA	o15392	Baculoviral IAP repeat-containing protein 5	o15392	NA	3ueg
Baculoviral IAP repeat-containing protein 5	NA	o15392	Baculoviral IAP repeat-containing protein 5	o15392	NA	3ueh
Baculoviral IAP repeat-containing protein 5	NA	o15392	Baculoviral IAP repeat-containing protein 5	o15392	NA	3uei
Baculoviral IAP repeat-containing protein 5	NA	o15392	Baculoviral IAP repeat-containing protein 5	o15392	NA	3uih
Baculoviral IAP repeat-containing protein 5	NA	o15392	Baculoviral IAP repeat-containing protein 5	o15392	NA	3uij
Baculoviral IAP repeat-containing protein 5	NA	o15392	Baculoviral IAP repeat-containing protein 5	o15392	NA	4a0i
Baculoviral IAP repeat-containing protein 5	NA	o15392	Baculoviral IAP repeat-containing protein 5	o15392	NA	6sho
Baculoviral IAP repeat-containing protein 5	NA	o15392	Borealin	q53hl2	NA	2qfa
Baculoviral IAP repeat-containing protein 5	NA	o15392	Borealin	q53hl2	NA	2raw
Baculoviral IAP repeat-containing protein 5	NA	o15392	Borealin	q53hl2	NA	6yie
Baculoviral IAP repeat-containing protein 5	NA	o15392	Borealin	q53hl2	Nbl1_Borealin_N	2qfa
Baculoviral IAP repeat-containing protein 5	NA	o15392	Borealin	q53hl2	Nbl1_Borealin_N	2raw
Baculoviral IAP repeat-containing protein 5	NA	o15392	Borealin	q53hl2	Nbl1_Borealin_N	2rax
Baculoviral IAP repeat-containing protein 5	NA	o15392	Diablo homolog, mitochondrial	q9nr28	NA	3uih
Baculoviral IAP repeat-containing protein 5	NA	o15392	Diablo homolog, mitochondrial	q9nr28	NA	3uij
Baculoviral IAP repeat-containing protein 5	NA	o15392	Inner centromere protein	q9nqs7	INCENP_N	2qfa
Baculoviral IAP repeat-containing protein 5	NA	o15392	Inner centromere protein	q9nqs7	NA	2qfa
Baculoviral IAP repeat-containing protein 5	NA	o15392	Inner centromere protein	q9nqs7	NA	6yie
Baculoviral IAP repeat-containing protein 5	NA	o15392	Shugoshin 1	q5fbb7	NA	4a0i
Bromodomain adjacent to zinc finger domain protein 2A	NA	q9uif9	ALA-ARG-TAM		NA	6fhu
Bromodomain adjacent to zinc finger domain protein 2A	NA	q9uif9	ALA-ARG-THR-ALA-ALA-THR-ALA-ARG		NA	6fkp
Bromodomain adjacent to zinc finger domain protein 2A	NA	q9uif9	Bromodomain adjacent to zinc finger domain protein 2A	q9uif9	NA	4qf2
Bromodomain-containing protein 3	Bromo_Brdt_II_like	q15059	Bromodomain-containing protein 3	q15059	Bromo_Brdt_I_like	3s91
Bromodomain-containing protein 3	Bromo_Brdt_II_like	q15059	Bromodomain-containing protein 3	q15059	NA	3s91
Bromodomain-containing protein 3	Bromo_Brdt_II_like	q15059	Chromodomain-helicase-DNA-binding protein 4	q14839	NA	6bgg
Bromodomain-containing protein 3	Bromo_Brdt_II_like	q15059	Speckle-type POZ protein	o43791	MATH_SPOP	6i41
Bromodomain-containing protein 3	Bromo_Brdt_II_like	q15059	Speckle-type POZ protein	o43791	MATH_SPOP	6i5p
Bromodomain-containing protein 3	Bromo_Brdt_II_like	q15059	Speckle-type POZ protein	o43791	MATH_SPOP	6i68
Bromodomain-containing protein 3	Bromo_Brdt_II_like	q15059	Speckle-type POZ protein	o43791	MATH_SPOP	6i7a
Bromodomain-containing protein 3	Bromo_Brdt_II_like	q15059	Transcription activator BRG1	p51532	NA	6bgh
Bromodomain-containing protein 4	Bromo_Brdt_I_like	o60885	Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6	q6nyc1	NA	6bnh
Bromodomain-containing protein 4	Bromo_Brdt_I_like	o60885	Bromodomain-containing protein 4	o60885	Bromo_Brdt_I_like	5khm
Bromodomain-containing protein 4	Bromo_Brdt_I_like	o60885	Bromodomain-containing protein 4	o60885	Bromo_Brdt_I_like	6djc
Bromodomain-containing protein 4	Bromo_Brdt_I_like	o60885	Bromodomain-containing protein 4	o60885	Bromo_Brdt_I_like	6g0s
Bromodomain-containing protein 4	Bromo_Brdt_I_like	o60885	DNA topoisomerase 2-alpha	p11388	NA	5nne
Bromodomain-containing protein 4	Bromo_Brdt_I_like	o60885	DNA-directed RNA polymerase II subunit RPB1	p24928	NA	6g0r
Bromodomain-containing protein 4	Bromo_Brdt_I_like	o60885	Erythroid transcription factor	p15976	NA	6g0q
Bromodomain-containing protein 4	Bromo_Brdt_I_like	o60885	Forkhead box protein O3	o43524	NA	6mnl
Bromodomain-containing protein 4	Bromo_Brdt_I_like	o60885	Histone-lysine N-methyltransferase NSD3	q9bz95	NA	2ncz
Bromodomain-containing protein 4	Bromo_Brdt_I_like	o60885	Histone-lysine N-methyltransferase NSD3	q9bz95	NA	2nd1
Bromodomain-containing protein 4	Bromo_Brdt_I_like	o60885	MLV integrase	q8un00	NA	2n3k
Bromodomain-containing protein 4	Bromo_Brdt_I_like	o60885	NAD-dependent protein deacetylase sirtuin-7	q9nrc8	NA	6g0s
Bromodomain-containing protein 4	Bromo_Brdt_I_like	o60885	Protein LANA1	q9qr71	NA	2nd0
Bromodomain-containing protein 4	Bromo_Brdt_I_like	o60885	Protein cereblon	q96sw2	CRBN_C_like	6bn7
Bromodomain-containing protein 4	Bromo_Brdt_I_like	o60885	Protein cereblon	q96sw2	CRBN_C_like	6bn8
Bromodomain-containing protein 4	Bromo_Brdt_I_like	o60885	Protein cereblon	q96sw2	CRBN_C_like	6bn9
Bromodomain-containing protein 4	Bromo_Brdt_I_like	o60885	Protein cereblon	q96sw2	CRBN_C_like	6bnb
Bromodomain-containing protein 4	Bromo_Brdt_I_like	o60885	Protein cereblon	q96sw2	CRBN_C_like	6boy
Bromodomain-containing protein 4	Bromo_Brdt_I_like	o60885	Protein cereblon	q96sw2	LON_substr_bdg	6bn7
Bromodomain-containing protein 4	Bromo_Brdt_I_like	o60885	Protein cereblon	q96sw2	LON_substr_bdg	6bn8
Bromodomain-containing protein 4	Bromo_Brdt_I_like	o60885	Protein cereblon	q96sw2	LON_substr_bdg	6bn9
Bromodomain-containing protein 4	Bromo_Brdt_I_like	o60885	Protein cereblon	q96sw2	LON_substr_bdg	6boy
Bromodomain-containing protein 4	Bromo_Brdt_I_like	o60885	Regulatory protein E2	p03120	NA	2nnu
Bromodomain-containing protein 4	Bromo_Brdt_I_like	o60885	Regulatory protein E2	p03120	PPV_E2_N	2nnu
Bromodomain-containing protein 4	Bromo_Brdt_I_like	o60885	SRSF protein kinase 1	q96sb4	NA	5nng
Bromodomain-containing protein 4	Bromo_Brdt_I_like	o60885	Transcription factor E2F1	q01094	NA	6g0p
Bromodomain-containing protein 4	Bromo_Brdt_I_like	o60885	Transcription factor p65	q04206	NA	2lsp
Bromodomain-containing protein 4	Bromo_Brdt_I_like	o60885	Transcription factor p65	q04206	NA	4kv1
Bromodomain-containing protein 4	Bromo_Brdt_I_like	o60885	Transcription factor p65	q04206	NA	4kv4
Bromodomain-containing protein 4	Bromo_Brdt_I_like	o60885	Transcriptional regulator ATRX	p46100	NA	6g0o
Bromodomain-containing protein 4	Bromo_Brdt_I_like	o60885	Twist-related protein 1	q15672	NA	2mjv
Bromodomain-containing protein 4	Bromo_Brdt_I_like	o60885	Tyrosine-protein kinase BAZ1B	q9uig0	NA	5nnf
Bromodomain-containing protein 4	Bromo_Brdt_I_like	o60885	von Hippel-Lindau disease tumor suppressor	p40337	NA	6sis
Bromodomain-containing protein 4	Bromo_Brdt_I_like	o60885	von Hippel-Lindau disease tumor suppressor	p40337	pVHL	5t35
Bromodomain-containing protein 4	Bromo_Brdt_I_like	q9esu6	Bromodomain-containing protein 4	q9esu6	Bromo_Brdt_II_like	2dww
Bromodomain-containing protein 4	Bromo_Brdt_I_like	q9esu6	Bromodomain-containing protein 4	q9esu6	NA	2dww
Bromodomain-containing protein 9	NA	q9h8m2	Bromodomain-containing protein 9	q9h8m2	NA	3hme
Bromodomain-containing protein 9	NA	q9h8m2	Bromodomain-containing protein 9	q9h8m2	NA	5e9v
Bromodomain-containing protein 9	NA	q9h8m2	Bromodomain-containing protein 9	q9h8m2	NA	5igm
Bromodomain-containing protein 9	NA	q9h8m2	Bromodomain-containing protein 9	q9h8m2	NA	5ign
Bromodomain-containing protein 9	NA	q9h8m2	Bromodomain-containing protein 9	q9h8m2	NA	6v0s
CREB-binding protein	Bromo_cbp_like	q92793	CID		NA	6es5
CREB-binding protein	Bromo_cbp_like	q92793	CID		NA	6es6
CREB-binding protein	Bromo_cbp_like	q92793	Cyclic AMP-responsive element-binding protein 1	p16220	pKID	2lxt
CREB-binding protein	Bromo_cbp_like	q92793	Histone-lysine N-methyltransferase 2A	q03164	NA	2lxs
CREB-binding protein	Bromo_cbp_like	q92793	Histone-lysine N-methyltransferase 2A	q03164	NA	2lxt
CREB-binding protein	Bromo_cbp_like	q92793	Interferon regulatory factor 3	q14653	IRF-3	1zoq
CREB-binding protein	Bromo_cbp_like	q92793	Interferon regulatory factor 3	q14653	IRF-3	5jem
CREB-binding protein	Bromo_cbp_like	q92793	Interferon regulatory factor 3	q14653	NA	1zoq
CREB-binding protein	Bromo_cbp_like	q92793	Interferon regulatory factor 3	q14653	NA	5jem
CREB-binding protein	Bromo_cbp_like	q92793	Nuclear receptor coactivator 3	q9y6q9	NA	6es7
CREB-binding protein	Bromo_cbp_like	q92793	Nuclear receptor coactivator 3	q9y6q9	Nuc_rec_co-act	6es7
CREB-binding protein	Bromo_cbp_like	q92793	P01103:#Transcriptional activator Myb#Q03164:#Histone-lysine N-methyltransferase 2A	p01103#q03164	NA	5svh
CREB-binding protein	Bromo_cbp_like	q92793	Peroxisome proliferator-activated receptor gamma	p37231	NR_LBD_PPAR	1rdt
CREB-binding protein	Bromo_cbp_like	q92793	Small ubiquitin-related modifier 1	p63165	NA	2n1a
CREB-binding protein	Bromo_cbp_like	q92793	Small ubiquitin-related modifier 1	p63165	Ubl_SUMO1	2n1a
CREB-binding protein	Bromo_cbp_like	q92793	Transcription factor 4	p15884	NA	2kwf
Centromere protein C	NA	q03188	Kinetochore-associated protein DSN1 homolog	q9h410	MIS13	5lsk
Centromere protein C	NA	q03188	Kinetochore-associated protein DSN1 homolog	q9h410	NA	5lsj
Centromere protein C	NA	q03188	Kinetochore-associated protein NSL1 homolog	q96iy1	Mis14	5lsj
Centromere protein C	NA	q03188	Kinetochore-associated protein NSL1 homolog	q96iy1	Mis14	5lsk
Centromere protein C	NA	q03188	Polyamine-modulated factor 1	q6p1k2	NA	5lsk
Centromere protein C	NA	q03188	Protein MIS12 homolog	q9h081	Mis12	5lsj
Centromere protein C	NA	q03188	Protein MIS12 homolog	q9h081	Mis12	5lsk
Centromere protein C	NA	q03188	Protein MIS12 homolog	q9h081	NA	5lsj
Centromere protein C	NA	q03188	Protein MIS12 homolog	q9h081	NA	5lsk
Chromobox protein homolog 1	CD_HP1beta_Cbx1	p83916	BRCA2-interacting transcriptional repressor EMSY	q7z589	ENT	2fmm
Chromobox protein homolog 1	CD_HP1beta_Cbx1	p83916	BRCA2-interacting transcriptional repressor EMSY	q7z589	NA	2fmm
Chromobox protein homolog 1	CD_HP1beta_Cbx1	p83916	Chromobox protein homolog 1	p83916	CD_HP1beta_Cbx1	3f2u
Chromobox protein homolog 1	CD_HP1beta_Cbx1	p83916	Chromobox protein homolog 1	p83916	CSD_HP1beta_Cbx1	2fmm
Chromobox protein homolog 1	CD_HP1beta_Cbx1	p83916	Chromobox protein homolog 1	p83916	CSD_HP1beta_Cbx1	3q6s
Chromobox protein homolog 1	CD_HP1beta_Cbx1	p83916	Chromobox protein homolog 1	p83916	NA	2fmm
Chromobox protein homolog 1	CD_HP1beta_Cbx1	p83916	Chromobox protein homolog 1	p83916	NA	3f2u
Chromobox protein homolog 1	CD_HP1beta_Cbx1	p83916	Chromobox protein homolog 1	p83916	NA	3q6s
Chromobox protein homolog 1	CD_HP1beta_Cbx1	p83916	Shugoshin 1	q5fbb7	NA	3q6s
Chromobox protein homolog 1	CSD_HP1beta_Cbx1	p83916	BRCA2-interacting transcriptional repressor EMSY	q7z589	ENT	2fmm
Chromobox protein homolog 1	CSD_HP1beta_Cbx1	p83916	BRCA2-interacting transcriptional repressor EMSY	q7z589	NA	2fmm
Chromobox protein homolog 1	CSD_HP1beta_Cbx1	p83916	Chromobox protein homolog 1	p83916	CD_HP1beta_Cbx1	3f2u
Chromobox protein homolog 1	CSD_HP1beta_Cbx1	p83916	Chromobox protein homolog 1	p83916	CSD_HP1beta_Cbx1	2fmm
Chromobox protein homolog 1	CSD_HP1beta_Cbx1	p83916	Chromobox protein homolog 1	p83916	CSD_HP1beta_Cbx1	3q6s
Chromobox protein homolog 1	CSD_HP1beta_Cbx1	p83916	Chromobox protein homolog 1	p83916	NA	2fmm
Chromobox protein homolog 1	CSD_HP1beta_Cbx1	p83916	Chromobox protein homolog 1	p83916	NA	3f2u
